,day,hour,N,occurrence,per_day_per_hour,day2
129,Saturday,8,41,5,8.2,5
130,Saturday,9,66,5,13.2,5
131,Saturday,10,65,5,13,5
132,Saturday,11,84,5,16.8,5
133,Saturday,12,83,5,16.6,5
134,Saturday,13,83,5,16.6,5
135,Saturday,14,92,5,18.4,5
136,Saturday,15,99,5,19.8,5
137,Saturday,16,101,5,20.2,5
138,Saturday,17,102,5,20.4,5
139,Saturday,18,89,5,17.8,5
140,Saturday,19,93,5,18.6,5
141,Saturday,20,83,5,16.6,5
142,Saturday,21,83,5,16.6,5
143,Saturday,22,96,5,19.2,5
144,Saturday,23,64,5,12.8,5
145,Sunday,0,74,4,18.5,6
146,Sunday,1,54,4,13.5,6
147,Sunday,2,34,4,8.5,6
148,Sunday,3,42,4,10.5,6
149,Sunday,4,24,4,6,6
150,Sunday,5,25,4,6.25,6
151,Sunday,6,14,4,3.5,6
152,Sunday,7,27,4,6.75,6
153,Sunday,8,46,4,11.5,6
154,Sunday,9,58,4,14.5,6
155,Sunday,10,73,4,18.25,6
156,Sunday,11,58,4,14.5,6
157,Sunday,12,66,4,16.5,6
158,Sunday,13,72,4,18,6
159,Sunday,14,82,4,20.5,6
160,Sunday,15,74,4,18.5,6
161,Sunday,16,82,4,20.5,6
162,Sunday,17,65,4,16.25,6
163,Sunday,18,89,4,22.25,6
164,Sunday,19,87,4,21.75,6
165,Sunday,20,96,4,24,6
166,Sunday,21,68,4,17,6
167,Sunday,22,74,4,18.5,6
168,Sunday,23,75,4,18.75,6
